text,sentiment
"Today was the best day ever!",positive
"Do not talk to me, I am in a bad mood",negative
"I do not live in Nicosia",neutral
"I am very optimistic for this effort",positive
"The match was exciting",positive
"The weather is mild",neutral
"I hate my boss",negative
"I hope my teams wins tonight",positive
"It’s great to be back 😃 #RolandGarros",positive
"#NewProfilePic",neutral
"The Golden Smile 💛#RafaNadal #RolandGarros",positive
"👑 Serena Williams career at #RolandGarros 🎾 19 played, 4 finals 📊 69-14 W/L 3️⃣ Singles titles 🏆🏆🏆 2️⃣ Doubles titles 🏆🏆 🐐 Still the GOAT ❤ Forever my champion",positive
